$Trinity Lake updated withdrawals year 2016 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
25.583,0.0283,0.0283
25.625,0.0283,0.0283
25.667,0.0283,0.0283
25.708,0.0283,0.0283
25.75,0.0283,0.0283
25.792,0.0283,0.0283
25.833,0.0283,0.0283
25.875,0.0283,0.0283
25.917,0.0283,0.0283
25.958,0.0283,0.0283
26,0.0283,0.0283
26.042,0.0283,0.0283
26.083,0.0283,0.0283
26.125,0.0283,0.0283
26.167,0.0283,0.0283
26.208,0.0283,0.0283
26.25,0.0283,0.0283
26.292,0.0283,0.0283
26.333,0.0283,0.0283
26.375,0.0283,0.0283
26.417,0.0283,0.0283
26.458,0.0283,0.0283
26.5,0.0283,0.0283
26.542,0.0283,0.0283
26.583,1.7689481,0.0283
26.625,35.1221961,0.0283
26.667,37.6696489,0.0283
26.708,37.2676474,0.0283
26.75,38.4438237,0.0283
26.792,37.5296488,0.0283
26.833,36.9682051,0.0283
26.875,37.3093899,0.0283
26.917,36.3461994,0.0283
26.958,2.7340064,0.0283
27,0.0283,0.0283
27.042,0.0283,0.0283
27.083,0.0283,0.0283
27.125,0.0283,0.0283
27.167,0.0283,0.0283
27.208,0.0283,0.0283
27.25,0.0283,0.0283
27.292,0.0283,0.0283
27.333,0.0283,0.0283
27.375,0.0283,0.0283
27.417,0.0283,0.0283
27.458,0.0283,0.0283
27.5,0.0283,0.0283
27.542,0.0283,0.0283
27.583,0.0283,0.0283
27.625,0.0283,0.0283
27.667,0.0283,0.0283
27.708,2.0559667,0.0283
27.75,40.4420584,0.0283
27.792,43.212119,0.0283
27.833,42.4891389,0.0283
27.875,41.5563143,0.0283
27.917,2.9657834,0.0283
27.958,0.0283,0.0283
28,0.0283,0.0283
28.042,0.0283,0.0283
28.083,0.0283,0.0283
28.125,0.0283,0.0283
28.167,0.0283,0.0283
28.208,0.0283,0.0283
28.25,0.0283,0.0283
28.292,0.0283,0.0283
28.333,0.0283,0.0283
28.375,0.0283,0.0283
28.417,0.0283,0.0283
28.458,0.0283,0.0283
28.5,0.0283,0.0283
28.542,0.0283,0.0283
28.583,0.0283,0.0283
28.625,0.0283,0.0283
28.667,0.0283,0.0283
28.708,1.7534397,0.0283
28.75,35.4766819,0.0283
28.792,36.3909134,0.0283
28.833,2.9134001,0.0283
28.875,0.0283,0.0283
28.917,0.0283,0.0283
28.958,0.0283,0.0283
29,0.0283,0.0283
29.042,0.0283,0.0283
29.083,0.0283,0.0283
29.125,0.0283,0.0283
29.167,0.0283,0.0283
29.208,0.0283,0.0283
29.25,0.0283,0.0283
29.292,0.0283,0.0283
29.333,0.0283,0.0283
29.375,1.3806438,0.0283
29.417,23.4570493,0.0283
29.458,19.6160035,0.0283
29.5,14.3454115,0.0283
29.542,23.4612943,0.0283
29.583,20.5848823,0.0283
29.625,11.2012532,0.0283
29.667,16.3264115,0.0283
29.708,36.6226621,0.0283
29.75,27.9099694,0.0283
29.792,26.928016,0.0283
29.833,35.4580322,0.0283
29.875,2.5756396,0.0283
29.917,0.0283,0.0283
29.958,0.0283,0.0283
30,0.0283,0.0283
30.042,0.0283,0.0283
30.083,0.0283,0.0283
30.125,0.0283,0.0283
30.167,0.0283,0.0283
30.208,0.0283,0.0283
30.25,0.0283,0.0283
30.292,0.0283,0.0283
30.333,0.0283,0.0283
30.375,0.0283,0.0283
30.417,0.0283,0.0283
30.458,0.0283,0.0283
30.5,0.0283,0.0283
30.542,0.0283,0.0283
30.583,0.0283,0.0283
30.625,0.0283,0.0283
30.667,0.0283,0.0283
30.708,2.2735654,0.0283
30.75,45.391502,0.0283
30.792,47.7224032,0.0283
30.833,46.4684019,0.0283
30.875,2.9141359,0.0283
30.917,0.0283,0.0283
30.958,0.0283,0.0283
31,0.0283,0.0283
31.042,0.0283,0.0283
31.083,0.0283,0.0283
31.125,0.0283,0.0283
31.167,0.0283,0.0283
31.208,0.0283,0.0283
31.25,0.0283,0.0283
31.292,0.0283,0.0283
31.333,0.0283,0.0283
31.375,0.0283,0.0283
31.417,0.0283,0.0283
31.458,0.0283,0.0283
31.5,0.0283,0.0283
31.542,0.0283,0.0283
31.583,0.0283,0.0283
31.625,0.0283,0.0283
31.667,0.0283,0.0283
31.708,0.0283,0.0283
31.75,1.7434498,0.0283
31.792,39.8964344,0.0283
31.833,40.7702252,0.0283
31.875,39.2845884,0.0283
31.917,31.0310066,0.0283
31.958,1.331798,0.0283
32,0.0283,0.0283
32.042,0.0283,0.0283
32.083,0.0283,0.0283
32.125,0.0283,0.0283
32.167,0.0283,0.0283
32.208,0.0283,0.0283
32.25,0.0283,0.0283
32.292,0.0283,0.0283
32.333,0.0283,0.0283
32.375,0.0283,0.0283
32.417,0.0283,0.0283
32.458,0.0283,0.0283
32.5,0.0283,0.0283
32.542,0.0283,0.0283
32.583,0.0283,0.0283
32.625,0.0283,0.0283
32.667,0.0283,0.0283
32.708,2.6319283,0.0283
32.75,34.3912354,0.0283
32.792,36.6385384,0.0283
32.833,36.5320455,0.0283
32.875,35.846761,0.0283
32.917,3.2262566,0.0283
32.958,0.0283,0.0283
33,0.0283,0.0283
33.042,0.0283,0.0283
33.083,0.0283,0.0283
33.125,0.0283,0.0283
33.167,0.0283,0.0283
33.208,0.0283,0.0283
33.25,0.0283,0.0283
33.292,0.0283,0.0283
33.333,0.0283,0.0283
33.375,0.0283,0.0283
33.417,0.0283,0.0283
33.458,0.0283,0.0283
33.5,0.0283,0.0283
33.542,0.0283,0.0283
33.583,0.0283,0.0283
33.625,0.0283,0.0283
33.667,0.0283,0.0283
33.708,1.0178661,0.0283
33.75,15.3632493,0.0283
33.792,40.4277386,0.0283
33.833,41.6715236,0.0283
33.875,41.5403248,0.0283
33.917,31.3117143,0.0283
33.958,1.2160793,0.0283
34,0.0283,0.0283
34.042,0.0283,0.0283
34.083,0.0283,0.0283
34.125,0.0283,0.0283
34.167,0.0283,0.0283
34.208,0.0283,0.0283
34.25,0.0283,0.0283
34.292,0.0283,0.0283
34.333,0.0283,0.0283
34.375,0.0283,0.0283
34.417,0.0283,0.0283
34.458,0.0283,0.0283
34.5,0.0283,0.0283
34.542,0.0283,0.0283
34.583,0.0283,0.0283
34.625,0.0283,0.0283
34.667,0.0283,0.0283
34.708,3.9145692,0.0283
34.75,46.6513331,0.0283
34.792,47.2746123,0.0283
34.833,2.6097128,0.0283
34.875,0.0283,0.0283
34.917,0.0283,0.0283
34.958,0.0283,0.0283
35,0.0283,0.0283
35.042,0.0283,0.0283
35.083,0.0283,0.0283
35.125,0.0283,0.0283
35.167,0.0283,0.0283
35.208,0.0283,0.0283
35.25,0.0283,0.0283
35.292,0.0283,0.0283
35.333,0.0283,0.0283
35.375,0.0283,0.0283
35.417,0.0283,0.0283
35.458,0.0283,0.0283
35.5,0.0283,0.0283
35.542,0.0283,0.0283
35.583,0.0283,0.0283
35.625,0.0283,0.0283
35.667,0.0283,0.0283
35.708,2.6888962,0.0283
35.75,37.315248,0.0283
35.792,41.69156,0.0283
35.833,45.9846983,0.0283
35.875,2.5704324,0.0283
35.917,0.0283,0.0283
35.958,0.0283,0.0283
36,0.0283,0.0283
36.042,0.0283,0.0283
36.083,0.0283,0.0283
36.125,0.0283,0.0283
36.167,0.0283,0.0283
36.208,0.0283,0.0283
36.25,0.0283,0.0283
36.292,0.0283,0.0283
36.333,0.0283,0.0283
36.375,0.0283,0.0283
36.417,0.0283,0.0283
36.458,0.0283,0.0283
36.5,0.0283,0.0283
36.542,0.0283,0.0283
36.583,0.0283,0.0283
36.625,0.0283,0.0283
36.667,0.0283,0.0283
36.708,3.1310837,0.0283
36.75,43.9476077,0.0283
36.792,47.2833287,0.0283
36.833,47.1148022,0.0283
36.875,45.6838127,0.0283
36.917,2.6071092,0.0283
36.958,0.0283,0.0283
37,0.0283,0.0283
37.042,0.0283,0.0283
37.083,0.0283,0.0283
37.125,0.0283,0.0283
37.167,0.0283,0.0283
37.208,0.0283,0.0283
37.25,0.0283,0.0283
37.292,0.0283,0.0283
37.333,0.0283,0.0283
37.375,0.0283,0.0283
37.417,0.0283,0.0283
37.458,0.0283,0.0283
37.5,0.0283,0.0283
37.542,0.0283,0.0283
37.583,0.0283,0.0283
37.625,0.0283,0.0283
37.667,0.0283,0.0283
37.708,1.3395805,0.0283
37.75,17.5889311,0.0283
37.792,39.7998182,0.0283
37.833,41.1934234,0.0283
37.875,22.6636871,0.0283
37.917,20.8109144,0.0283
37.958,1.62442,0.0283
38,0.0283,0.0283
38.042,0.0283,0.0283
38.083,0.0283,0.0283
38.125,0.0283,0.0283
38.167,0.0283,0.0283
38.208,0.0283,0.0283
38.25,0.0283,0.0283
38.292,0.0283,0.0283
38.333,0.0283,0.0283
38.375,0.0283,0.0283
38.417,0.0283,0.0283
38.458,0.0283,0.0283
38.5,0.0283,0.0283
38.542,0.0283,0.0283
38.583,0.0283,0.0283
38.625,0.0283,0.0283
38.667,1.3752385,0.0283
38.708,30.0261019,0.0283
38.75,31.7220077,0.0283
38.792,40.7687253,0.0283
38.833,40.2332327,0.0283
38.875,2.6959429,0.0283
38.917,0.0283,0.0283
38.958,0.0283,0.0283
39,0.0283,0.0283
39.042,0.0283,0.0283
39.083,0.0283,0.0283
39.125,0.0283,0.0283
39.167,0.0283,0.0283
39.208,0.0283,0.0283
39.25,0.0283,0.0283
39.292,0.0283,0.0283
39.333,0.0283,0.0283
39.375,0.0283,0.0283
39.417,0.0283,0.0283
39.458,0.0283,0.0283
39.5,0.0283,0.0283
39.542,0.0283,0.0283
39.583,0.0283,0.0283
