$Trinity Lake spillway release year 2016 YC 08/25/22,
",,,",
Jday,TRN / Spill Flow / Spill Release - cms
35.75,0.0283
35.792,0.0283
35.833,0.0283
35.875,0.0283
35.917,0.0283
35.958,0.0283
36,0.0283
36.042,0.0283
36.083,0.0283
36.125,0.0283
36.167,0.0283
36.208,0.0283
36.25,0.0283
36.292,0.0283
36.333,0.0283
36.375,0.0283
36.417,0.0283
36.458,0.0283
36.5,0.0283
36.542,0.0283
36.583,0.0283
36.625,0.0283
36.667,0.0283
36.708,0.0283
36.75,0.0283
36.792,0.0283
36.833,0.0283
36.875,0.0283
36.917,0.0283
36.958,0.0283
37,0.0283
37.042,0.0283
37.083,0.0283
37.125,0.0283
37.167,0.0283
37.208,0.0283
37.25,0.0283
37.292,0.0283
37.333,0.0283
37.375,0.0283
37.417,0.0283
37.458,0.0283
37.5,0.0283
37.542,0.0283
37.583,0.0283
37.625,0.0283
37.667,0.0283
37.708,0.0283
37.75,0.0283
37.792,0.0283
37.833,0.0283
37.875,0.0283
37.917,0.0283
37.958,0.0283
38,0.0283
38.042,0.0283
38.083,0.0283
38.125,0.0283
38.167,0.0283
38.208,0.0283
38.25,0.0283
38.292,0.0283
38.333,0.0283
38.375,0.0283
38.417,0.0283
38.458,0.0283
38.5,0.0283
38.542,0.0283
38.583,0.0283
38.625,0.0283
38.667,0.0283
38.708,0.0283
38.75,0.0283
38.792,0.0283
38.833,0.0283
38.875,0.0283
38.917,0.0283
38.958,0.0283
39,0.0283
39.042,0.0283
39.083,0.0283
39.125,0.0283
39.167,0.0283
39.208,0.0283
39.25,0.0283
39.292,0.0283
39.333,0.0283
39.375,0.0283
39.417,0.0283
39.458,0.0283
39.5,0.0283
39.542,0.0283
39.583,0.0283
39.625,0.0283
39.667,0.0283
39.708,0.0283
39.75,0.0283
39.792,0.0283
39.833,0.0283
39.875,0.0283
39.917,0.0283
39.958,0.0283
40,0.0283
40.042,0.0283
40.083,0.0283
40.125,0.0283
40.167,0.0283
40.208,0.0283
40.25,0.0283
40.292,0.0283
40.333,0.0283
40.375,0.0283
40.417,0.0283
40.458,0.0283
40.5,0.0283
40.542,0.0283
40.583,0.0283
40.625,0.0283
40.667,0.0283
40.708,0.0283
40.75,0.0283
40.792,0.0283
40.833,0.0283
40.875,0.0283
40.917,0.0283
40.958,0.0283
41,0.0283
41.042,0.0283
41.083,0.0283
41.125,0.0283
41.167,0.0283
41.208,0.0283
41.25,0.0283
41.292,0.0283
41.333,0.0283
41.375,0.0283
41.417,0.0283
41.458,0.0283
41.5,0.0283
41.542,0.0283
41.583,0.0283
41.625,0.0283
41.667,0.0283
41.708,0.0283
41.75,0.0283
41.792,0.0283
41.833,0.0283
41.875,0.0283
41.917,0.0283
41.958,0.0283
42,0.0283
42.042,0.0283
42.083,0.0283
42.125,0.0283
42.167,0.0283
42.208,0.0283
42.25,0.0283
42.292,0.0283
42.333,0.0283
42.375,0.0283
42.417,0.0283
42.458,0.0283
42.5,0.0283
42.542,0.0283
42.583,0.0283
42.625,0.0283
42.667,0.0283
42.708,0.0283
42.75,0.0283
42.792,0.0283
42.833,0.0283
42.875,0.0283
42.917,0.0283
42.958,0.0283
43,0.0283
43.042,0.0283
43.083,0.0283
43.125,0.0283
43.167,0.0283
43.208,0.0283
43.25,0.0283
43.292,0.0283
43.333,0.0283
43.375,0.0283
43.417,0.0283
43.458,0.0283
43.5,0.0283
43.542,0.0283
43.583,0.0283
43.625,0.0283
43.667,0.0283
43.708,0.0283
43.75,0.0283
43.792,0.0283
43.833,0.0283
43.875,0.0283
43.917,0.0283
43.958,0.0283
44,0.0283
44.042,0.0283
44.083,0.0283
44.125,0.0283
44.167,0.0283
44.208,0.0283
44.25,0.0283
44.292,0.0283
44.333,0.0283
44.375,0.0283
44.417,0.0283
44.458,0.0283
44.5,0.0283
44.542,0.0283
44.583,0.0283
44.625,0.0283
44.667,0.0283
44.708,0.0283
44.75,0.0283
44.792,0.0283
44.833,0.0283
44.875,0.0283
44.917,0.0283
44.958,0.0283
45,0.0283
45.042,0.0283
45.083,0.0283
45.125,0.0283
45.167,0.0283
45.208,0.0283
45.25,0.0283
45.292,0.0283
45.333,0.0283
45.375,0.0283
45.417,0.0283
45.458,0.0283
45.5,0.0283
45.542,0.0283
45.583,0.0283
45.625,0.0283
45.667,0.0283
45.708,0.0283
45.75,0.0283
45.792,0.0283
45.833,0.0283
45.875,0.0283
45.917,0.0283
45.958,0.0283
46,0.0283
46.042,0.0283
46.083,0.0283
46.125,0.0283
46.167,0.0283
46.208,0.0283
46.25,0.0283
46.292,0.0283
46.333,0.0283
46.375,0.0283
46.417,0.0283
46.458,0.0283
46.5,0.0283
46.542,0.0283
46.583,0.0283
46.625,0.0283
46.667,0.0283
46.708,0.0283
46.75,0.0283
46.792,0.0283
46.833,0.0283
46.875,0.0283
46.917,0.0283
46.958,0.0283
47,0.0283
47.042,0.0283
47.083,0.0283
47.125,0.0283
47.167,0.0283
47.208,0.0283
47.25,0.0283
47.292,0.0283
47.333,0.0283
47.375,0.0283
47.417,0.0283
47.458,0.0283
47.5,0.0283
47.542,0.0283
47.583,0.0283
47.625,0.0283
47.667,0.0283
47.708,0.0283
47.75,0.0283
47.792,0.0283
47.833,0.0283
47.875,0.0283
47.917,0.0283
47.958,0.0283
48,0.0283
48.042,0.0283
48.083,0.0283
48.125,0.0283
48.167,0.0283
48.208,0.0283
48.25,0.0283
48.292,0.0283
48.333,0.0283
48.375,0.0283
48.417,0.0283
48.458,0.0283
48.5,0.0283
48.542,0.0283
48.583,0.0283
48.625,0.0283
48.667,0.0283
48.708,0.0283
48.75,0.0283
48.792,0.0283
48.833,0.0283
48.875,0.0283
48.917,0.0283
48.958,0.0283
49,0.0283
49.042,0.0283
49.083,0.0283
49.125,0.0283
49.167,0.0283
49.208,0.0283
49.25,0.0283
49.292,0.0283
49.333,0.0283
49.375,0.0283
49.417,0.0283
49.458,0.0283
49.5,0.0283
49.542,0.0283
49.583,0.0283
49.625,0.0283
49.667,0.0283
49.708,0.0283
49.75,0.0283
49.792,0.0283
49.833,0.0283
49.875,0.0283
49.917,0.0283
49.958,0.0283
50,0.0283
50.042,0.0283
50.083,0.0283
50.125,0.0283
50.167,0.0283
50.208,0.0283
50.25,0.0283
50.292,0.0283
50.333,0.0283
50.375,0.0283
50.417,0.0283
50.458,0.0283
50.5,0.0283
50.542,0.0283
50.583,0.0283
50.625,0.0283
50.667,0.0283
50.708,0.0283
50.75,0.0283
50.792,0.0283
50.833,0.0283
50.875,0.0283
50.917,0.0283
50.958,0.0283
51,0.0283
51.042,0.0283
51.083,0.0283
51.125,0.0283
51.167,0.0283
51.208,0.0283
51.25,0.0283
51.292,0.0283
51.333,0.0283
51.375,0.0283
51.417,0.0283
51.458,0.0283
51.5,0.0283
51.542,0.0283
51.583,0.0283
51.625,0.0283
51.667,0.0283
51.708,0.0283
51.75,0.0283
51.792,0.0283
51.833,0.0283
51.875,0.0283
51.917,0.0283
51.958,0.0283
52,0.0283
52.042,0.0283
52.083,0.0283
52.125,0.0283
52.167,0.0283
52.208,0.0283
52.25,0.0283
52.292,0.0283
52.333,0.0283
52.375,0.0283
52.417,0.0283
52.458,0.0283
52.5,0.0283
52.542,0.0283
52.583,0.0283
52.625,0.0283
52.667,0.0283
52.708,0.0283
52.75,0.0283
52.792,0.0283
52.833,0.0283
52.875,0.0283
52.917,0.0283
52.958,0.0283
53,0.0283
53.042,0.0283
53.083,0.0283
53.125,0.0283
53.167,0.0283
53.208,0.0283
53.25,0.0283
53.292,0.0283
53.333,0.0283
53.375,0.0283
53.417,0.0283
53.458,0.0283
53.5,0.0283
53.542,0.0283
53.583,0.0283
53.625,0.0283
53.667,0.0283
53.708,0.0283
53.75,0.0283
53.792,0.0283
53.833,0.0283
53.875,0.0283
53.917,0.0283
53.958,0.0283
54,0.0283
54.042,0.0283
54.083,0.0283
54.125,0.0283
54.167,0.0283
54.208,0.0283
54.25,0.0283
54.292,0.0283
54.333,0.0283
54.375,0.0283
54.417,0.0283
54.458,0.0283
54.5,0.0283
54.542,0.0283
54.583,0.0283
54.625,0.0283
54.667,0.0283
54.708,0.0283
54.75,0.0283
54.792,0.0283
54.833,0.0283
54.875,0.0283
54.917,0.0283
54.958,0.0283
55,0.0283
55.042,0.0283
55.083,0.0283
55.125,0.0283
55.167,0.0283
55.208,0.0283
55.25,0.0283
55.292,0.0283
55.333,0.0283
55.375,0.0283
55.417,0.0283
55.458,0.0283
55.5,0.0283
