$Trinity Lake qdt year 2016 YC 08/25/22,
",,,",
JDAY,qdt
22.167,20.85200516
22.208,59.65500516
22.25,54.25200516
22.292,146.9440052
22.333,63.17700516
22.375,73.7490052
22.417,161.5350052
22.458,70.1600052
22.5,117.6880052
22.542,204.8300052
22.583,-1.53599484
22.625,9.2520052
22.667,33.29500516
22.708,91.91800516
22.75,170.5060052
22.792,-19.79299484
22.833,60.3950052
22.875,31.53800516
22.917,47.04000516
22.958,112.5090052
23,33.04403884
23.042,95.20903884
23.083,68.11203884
23.125,134.6760388
23.167,127.3390388
23.208,46.05303884
23.25,69.45503884
23.292,192.3840388
23.333,-34.70696116
23.375,97.44703884
23.417,145.7890388
23.458,75.68903884
23.5,4.99203884
23.542,125.7830388
23.583,-8.363961164
23.625,34.54203884
23.667,120.4220388
23.708,82.82703884
23.75,-49.49496116
23.792,60.46803884
23.833,-1.823961164
23.875,-10.60496116
23.917,101.8190388
23.958,16.21103884
24,0.96030321
24.042,154.5153032
24.083,17.14830321
24.125,36.55930321
24.167,63.56330321
24.208,95.23730321
24.25,25.63330321
24.292,76.81530321
24.333,6.938303211
24.375,15.69630321
24.417,80.90630321
24.458,45.02530321
24.5,52.03530321
24.542,42.17830321
24.583,43.84730321
24.625,-10.77269679
24.667,3.827303211
24.708,141.0013032
24.75,-12.75769679
24.792,58.27230321
24.833,-33.25169679
24.875,28.99030321
24.917,113.0583032
24.958,-18.03369679
25,65.69215776
25.042,0.62315776
25.083,99.41115776
25.125,-49.78984224
25.167,79.99515776
25.208,128.3541578
25.25,7.77515776
25.292,3.38515776
25.333,42.18315776
25.375,27.69115776
25.417,44.08215776
25.458,32.93815776
25.5,37.22315776
25.542,2.84415776
25.583,-4.76184224
25.625,22.70215776
25.667,25.96615776
25.708,0.62315776
25.75,58.04115776
25.792,0.62315776
25.833,0.62315776
25.875,91.80215776
25.917,0.62315776
25.958,24.01815776
26,25.30810371
26.042,22.83010371
26.083,85.42310371
26.125,23.55910371
26.167,12.58910371
26.208,26.03810371
26.25,22.64310371
26.292,40.27110371
26.333,-0.578896286
26.375,31.05610371
26.417,85.86310371
26.458,-71.35989629
26.5,-0.578896286
26.542,-164.1858963
26.583,67.56010371
26.625,-20.36789629
26.667,110.7211037
26.708,-0.578896286
26.75,42.11410371
26.792,89.94410371
26.833,-45.35489629
26.875,27.23710371
26.917,73.84010371
26.958,25.18010371
27,23.50922482
27.042,16.12522482
27.083,14.92922482
27.125,20.53722482
27.167,31.27422482
27.208,25.01222482
27.25,24.12422482
27.292,25.87122482
27.333,26.22522482
27.375,-43.03877518
27.417,0.465224821
27.458,14.08622482
27.5,43.64922482
27.542,35.34222482
27.583,14.85622482
27.625,2.33622482
27.667,32.46722482
27.708,56.24522482
27.75,-2.506775179
27.792,33.13122482
27.833,0.465224821
27.875,-22.86977518
27.917,27.28722482
27.958,51.05222482
