Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 37,  1,        3550.00,   518479.36844,  4512914.10715, 10,   574.890
 36,  1,        3450.00,   518513.09122,  4513006.63472, 10,   574.390
 35,  1,        3350.00,   518550.48097,  4513096.82478, 10,   574.890
 34,  1,        3250.00,   518604.18268,  4513181.06976, 10,   576.390
 33,  1,        3150.00,   518646.29796,  4513271.34675, 10,   575.890
 32,  1,        3050.00,   518680.49379,  4513365.31826, 10,   576.390
 31,  1,        2950.00,   518714.68962,  4513459.28978, 10,   575.890
 30,  1,        2850.00,   518763.92187,  4513544.58199, 10,   574.890
 29,  1,        2750.00,   518828.19054,  4513621.19490, 10,   575.890
 28,  1,        2650.00,   518885.34225,  4513702.79259, 10,   576.390
 27,  1,        2550.00,   518935.37699,  4513789.37506, 10,   576.890
 26,  1,        2450.00,   518989.07870,  4513873.62003, 10,   577.390
 25,  1,        2350.00,   519034.86095,  4513961.55953, 10,   577.890
 24,  1,        2250.00,   519073.07472,  4514053.86769, 10,   577.390
 23,  1,        2150.00,   519111.28849,  4514146.17586, 10,   577.390
 22,  1,        2050.00,   519137.09181,  4514242.39794, 10,   577.390
 21,  1,        1950.00,   519128.69059,  4514338.61686, 10,   574.890
 20,  1,        1850.00,   519102.91869,  4514434.84285, 10,   575.890
 19,  1,        1750.00,   519094.25341,  4514534.08625, 10,   575.890
 18,  1,        1650.00,   519111.35133,  4514631.07201, 10,   577.390
 17,  1,        1550.00,   519145.54715,  4514725.04353, 10,   577.890
 16,  1,        1450.00,   519194.77940,  4514810.33574, 10,   576.890
 15,  1,        1350.00,   519267.87332,  4514877.31819, 10,   576.390
 14,  1,        1250.00,   519347.14590,  4514938.12072, 10,   576.390
 13,  1,        1150.00,   519420.80015,  4515005.61667, 10,   576.890
 12,  1,        1050.00,   519484.82576,  4515081.93982, 10,   576.390
 11,  1,         950.00,   519538.52747,  4515166.18479, 10,   576.390
 10,  1,         850.00,   519592.22918,  4515250.42976, 10,   576.390
  9,  1,         750.00,   519645.93089,  4515334.67474, 10,   576.390
  8,  1,         650.00,   519703.08260,  4515416.27243, 10,   576.890
  7,  1,         550.00,   519752.31485,  4515501.56464, 10,   576.890
  6,  1,         450.00,   519786.51068,  4515595.53615, 10,   576.890
  5,  1,         350.00,   519816.55923,  4515690.81560, 10,   576.390
  4,  1,         250.00,   519846.60778,  4515786.09506, 10,   577.390
  3,  1,         150.00,   519876.65634,  4515881.37451, 10,   576.390
  2,  1,          50.00,   519906.70489,  4515976.65396, 10,   576.390
121,  2,       11750.00,   518345.38118,  4512401.18319, 10,   575.890
120,  2,       11650.00,   518422.00718,  4512465.43625, 10,   575.890
119,  2,       11550.00,   518492.45451,  4512535.86924, 10,   576.390
118,  2,       11450.00,   518549.60622,  4512617.46693, 10,   576.390
117,  2,       11350.00,   518542.48216,  4512699.05866, 10,   577.390
116,  2,       11250.00,   518485.35864,  4512780.67077, 10,   577.390
131,  3,       12550.00,   518374.20399,  4511305.81758, 10,   575.390
130,  3,       12450.00,   518391.29264,  4511402.80333, 10,   575.390
129,  3,       12350.00,   518399.72527,  4511499.03250, 10,   574.890
128,  3,       12250.00,   518366.07791,  4511591.58751, 10,   575.890
127,  3,       12150.00,   518308.95439,  4511673.19962, 10,   574.890
126,  3,       12050.00,   518251.83087,  4511754.81173, 10,   573.390
125,  3,       11950.00,   518218.18351,  4511847.36674, 10,   574.390
124,  3,       11850.00,   518218.22363,  4511945.84647, 10,   575.890
