Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 11,  1,         665.87,***************,***************, 10,   363.820
 10,  1,         595.87,***************,***************, 10,   363.820
  9,  1,         525.87,***************,***************, 10,   363.820
  8,  1,         455.87,***************,***************, 10,   363.820
  7,  1,         385.87,***************,***************, 10,   363.820
  6,  1,         307.94,***************,***************, 10,   363.820
  5,  1,         222.50,***************,***************, 10,   363.820
  4,  1,         140.00,***************,***************, 10,   363.820
  3,  1,          72.50,***************,***************, 10,   363.820
  2,  1,          22.50,***************,***************, 10,   363.820
100,  2,       13310.80,***************,***************, 10,   325.820
 99,  2,       13090.87,***************,***************, 10,   328.820
 98,  2,       12885.87,***************,***************, 10,   331.820
 97,  2,       12690.87,***************,***************, 10,   333.820
 96,  2,       12505.87,***************,***************, 10,   335.820
 95,  2,       12315.87,***************,***************, 10,   337.820
 94,  2,       12140.87,***************,***************, 10,   341.820
 93,  2,       12005.87,***************,***************, 10,   342.820
 92,  2,       11885.87,***************,***************, 10,   344.820
 91,  2,       11780.87,***************,***************, 10,   345.820
 90,  2,       11695.87,***************,***************, 10,   346.820
 89,  2,       11620.87,***************,***************, 10,   347.820
 88,  2,       11550.87,***************,***************, 10,   349.820
 87,  2,       11480.87,***************,***************, 10,   349.820
 86,  2,       11410.87,***************,***************, 10,   351.820
 85,  2,       11335.87,***************,***************, 10,   352.820
 84,  2,       11255.87,***************,***************, 10,   354.820
 83,  2,       11170.87,***************,***************, 10,   357.820
 82,  2,       11075.87,***************,***************, 10,   359.820
114,  4,       14604.73,***************,***************, 10,   363.820
113,  4,       14542.23,***************,***************, 10,   363.820
112,  4,       14483.23,***************,***************, 10,   363.820
