 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   11.3419,      8.30,     50.14,    327.66,
   11.3836,      8.30,     49.18,    327.66,
   11.4252,      8.26,      4.67,    327.66,
   11.4669,      8.26,      1.00,    327.66,
   11.5089,      8.23,      1.02,    327.66,
   11.5503,      8.22,      0.75,    327.66,
   11.5919,      8.20,      0.88,    327.66,
   11.6340,      8.20,      7.93,    327.66,
   11.6756,      8.30,     48.92,    327.66,
   11.7172,      8.29,     50.41,    327.66,
   11.7588,      8.29,     50.27,    327.66,
   11.8004,      8.29,     50.68,    327.66,
   11.8422,      8.29,     50.70,    327.66,
   11.8839,      8.29,     50.54,    327.66,
   11.9258,      8.29,     48.99,    327.66,
   11.9677,      8.22,      3.16,    327.66,
   12.0090,      8.21,      0.40,    327.66,
   12.0510,      8.19,      0.40,    327.66,
   12.0926,      8.17,      0.40,    327.66,
   12.1340,      8.16,      0.40,    327.66,
   12.1760,      8.16,      0.40,    327.66,
   12.2176,      8.16,      0.40,    327.66,
   12.2590,      8.15,      0.40,    327.66,
   12.3010,      8.15,      0.40,    327.66,
   12.3431,      8.15,      0.40,    327.66,
   12.3847,      8.14,      0.40,    327.66,
   12.4260,      8.14,      0.40,    327.66,
   12.4681,      8.14,      0.40,    327.66,
   12.5097,      8.14,      0.40,    327.66,
   12.5510,      8.15,      0.40,    327.66,
   12.5932,      8.15,      0.40,    327.66,
   12.6347,      8.15,      0.40,    327.66,
   12.6760,      8.15,      0.40,    327.66,
   12.7182,      8.17,      3.11,    327.66,
   12.7598,      8.26,     40.38,    327.66,
   12.8015,      8.25,     42.03,    327.66,
   12.8430,      8.24,     42.07,    327.66,
   12.8849,      8.24,     42.49,    327.66,
   12.9265,      8.24,     55.64,    327.66,
   12.9686,      8.18,      6.07,    327.66,
   13.0097,      8.20,      0.55,    327.66,
   13.0517,      8.18,      0.40,    327.66,
   13.0935,      8.17,      0.40,    327.66,
   13.1349,      8.17,      0.40,    327.66,
   13.1770,      8.17,      0.40,    327.66,
   13.2184,      8.18,      0.40,    327.66,
   13.2599,      8.18,      0.40,    327.66,
   13.3018,      8.18,      0.40,    327.66,
   13.3433,      8.19,      0.40,    327.66,
   13.3849,      8.19,      0.40,    327.66,
   13.4267,      8.19,      0.40,    327.66,
   13.4685,      8.15,      3.08,    327.66,
   13.5102,      8.21,     55.98,    327.66,
   13.5520,      8.17,     47.68,    327.66,
   13.5936,      8.16,     55.34,    327.66,
   13.6353,      8.15,     50.28,    327.66,
   13.6769,      8.14,     46.13,    327.66,
   13.7188,      8.14,     43.92,    327.66,
   13.7605,      8.13,     51.57,    327.66,
   13.8021,      8.13,     49.21,    327.66,
   13.8436,      8.13,     53.09,    327.66,
   13.8854,      8.14,     54.25,    327.66,
   13.9271,      8.14,     53.77,    327.66,
   13.9693,      8.13,     21.89,    327.66,
   14.0108,      8.14,     21.58,    327.66,
   14.0524,      8.14,      2.57,    327.66,
   14.0944,      8.14,      2.28,    327.66,
   14.1357,      8.14,      2.32,    327.66,
   14.1774,      8.14,      2.28,    327.66,
   14.2192,      8.14,      2.43,    327.66,
   14.2611,      8.14,      1.91,    327.66,
   14.3026,      8.13,      3.02,    327.66,
   14.3443,      8.13,     42.70,    327.66,
   14.3862,      8.13,     38.75,    327.66,
   14.4277,      8.14,     45.43,    327.66,
   14.4692,      8.14,     48.90,    327.66,
   14.5110,      8.15,     44.03,    327.66,
   14.5527,      8.15,     47.47,    327.66,
   14.5945,      8.15,     45.96,    327.66,
   14.6360,      8.16,     39.77,    327.66,
   14.6777,      8.16,     39.18,    327.66,
   14.7197,      8.16,     43.21,    327.66,
   14.7610,      8.16,    114.94,    327.66,
   14.8028,      8.17,     53.29,    327.66,
   14.8447,      8.18,     50.27,    327.66,
   14.8864,      8.18,     52.39,    327.66,
   14.9281,      8.18,     51.13,    327.66,
   14.9695,      8.18,     29.22,    327.66,
   15.0118,      8.18,     24.98,    327.66,
   15.0531,      8.18,      4.74,    327.66,
   15.0946,      8.18,      4.49,    327.66,
   15.1368,      8.17,      4.53,    327.66,
   15.1781,      8.17,      2.32,    327.66,
