 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    5.2535,      8.55,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.2955,      8.54,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.3372,      8.53,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.3786,      8.52,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.4205,      8.52,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.4622,      8.51,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.5042,      8.50,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.5455,      8.50,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.5873,      8.49,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.6292,      8.49,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.6705,      8.49,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.7123,      8.49,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.7539,      8.48,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.7956,      8.48,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.8374,      8.48,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.8790,      8.47,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.9212,      8.47,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.9627,      8.46,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.0042,      8.46,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.0462,      8.45,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.0876,      8.44,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
