Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 17,  1,        1550.00,   519143.64090,  4514717.54353, 10,   577.890
 16,  1,        1450.00,   519192.87315,  4514802.83574, 10,   576.890
 15,  1,        1350.00,   519265.96707,  4514869.81819, 10,   576.390
 14,  1,        1250.00,   519345.23965,  4514930.62072, 10,   576.390
 13,  1,        1150.00,   519418.89390,  4514998.11667, 10,   576.890
 12,  1,        1050.00,   519482.91951,  4515074.43982, 10,   576.390
 11,  1,         950.00,   519536.62122,  4515158.68479, 10,   576.390
 10,  1,         850.00,   519590.32293,  4515242.92976, 10,   576.390
  9,  1,         750.00,   519644.02464,  4515327.17474, 10,   576.390
  8,  1,         650.00,   519701.17635,  4515408.77243, 10,   576.890
  7,  1,         550.00,   519750.40860,  4515494.06464, 10,   576.890
  6,  1,         450.00,   519784.60443,  4515588.03615, 10,   576.890
  5,  1,         350.00,   519814.65298,  4515683.31560, 10,   576.390
  4,  1,         250.00,   519844.70153,  4515778.59506, 10,   577.390
  3,  1,         150.00,   519874.75009,  4515873.87451, 10,   576.390
  2,  1,          50.00,   519904.79864,  4515969.15396, 10,   576.390
