$STR WITHDRAWAL AT SEG52                                     ELEV OF WITHDRAWAL CENTERLINE:722.     

JDAY,QWD(m3s-1)
    77.943,    0.0000
    77.983,    0.0000
    78.023,    0.0000
    78.064,    0.0000
    78.112,    0.0000
    78.156,    0.0000
    78.199,    0.0000
    78.237,    0.0000
    78.277,    0.0000
    78.313,    0.0000
    78.359,    0.0000
    78.404,    0.0000
    78.438,    0.0000
    78.483,    0.0000
    78.523,    0.0000
    78.563,    0.0000
    78.609,    0.0000
    78.655,    0.0000
    78.691,    0.0000
    78.739,    0.0000
    78.772,    0.0000
    78.815,    0.0000
    78.857,    0.0000
    78.899,    0.0000
    78.942,    0.0000
    78.981,    0.0000
    79.023,    0.0000
    79.064,    0.0000
    79.105,    0.0000
    79.149,    0.0000
    79.189,    0.0000
    79.230,    0.0000
    79.274,    0.0000
    79.322,    0.0000
    79.357,    0.0000
    79.397,    0.0000
    79.442,    0.0000
    79.482,    0.0000
    79.522,    0.0000
    79.566,    0.0000
    79.606,    0.0000
    79.653,    0.0000
    79.694,    0.0000
    79.738,    0.0000
    79.773,    0.0000
    79.813,    0.0000
    79.858,    0.0000
    79.902,    0.0000
    79.940,    0.0000
    79.980,    0.0000
    80.021,    0.0000
    80.064,    0.0000
    80.105,    0.0000
    80.149,    0.0000
    80.189,    0.0000
    80.239,    0.0000
    80.277,    0.0000
    80.321,    0.0000
    80.361,    0.0000
    80.404,    0.0000
    80.445,    0.0000
    80.486,    0.0000
    80.529,    0.0000
    80.573,    0.0000
    80.614,    0.0000
    80.646,    0.0000
    80.692,    0.0000
    80.737,    0.0000
    80.772,    0.0000
    80.820,    0.0000
    80.855,    0.0000
    80.903,    0.0000
    80.943,    0.0000
    80.982,    0.0000
    81.032,    0.0000
    81.067,    0.0000
    81.108,    0.0000
    81.155,    0.0000
    81.194,    0.0000
    81.232,    0.0000
    81.276,    0.0000
    81.314,    0.0000
    81.357,    0.0000
    81.398,    0.0000
    81.440,    0.0000
    81.483,    0.0000
    81.523,    0.0000
    81.563,    0.0000
    81.606,    0.0000
    81.647,    0.0000
    81.692,    0.0000
    81.731,    0.0000
    81.771,    0.0000
    81.815,    0.0000
    81.859,    0.0000
    81.898,    0.0000
