$Flow file for segment 52
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    85.896,   24.408,            0.000,
    85.944,   24.408,            0.000,
    85.987,   24.408,            0.000,
    86.029,   24.408,            0.000,
    86.071,   24.408,            0.000,
    86.112,   24.408,            0.000,
    86.154,   24.408,            0.000,
    86.196,   24.408,            0.000,
    86.237,   24.408,            0.000,
    86.280,   24.408,            0.000,
    86.325,   24.408,            0.000,
    86.360,   24.408,            0.000,
    86.404,   24.408,            0.000,
    86.442,   24.408,            0.000,
    86.488,   24.408,            0.000,
    86.528,   24.408,            0.000,
    86.566,   24.408,            0.000,
    86.612,   24.408,            0.000,
    86.652,   24.408,            0.000,
    86.693,   24.408,            0.000,
    86.735,   24.408,            0.000,
    86.778,   24.408,            0.000,
    86.821,   24.408,            0.000,
    86.862,   24.408,            0.000,
    86.906,   24.408,            0.000,
    86.942,   24.408,            0.000,
    86.981,   24.408,            0.000,
    87.031,   24.408,            0.000,
    87.065,   24.408,            0.000,
    87.111,   24.408,            0.000,
    87.152,   24.408,            0.000,
    87.190,   24.408,            0.000,
    87.232,   24.408,            0.000,
    87.274,   24.408,            0.000,
    87.316,   24.408,            0.000,
    87.357,   24.408,            0.000,
    87.400,   24.408,            0.000,
    87.442,   24.408,            0.000,
    87.481,   24.408,            0.000,
    87.523,   24.408,            0.000,
    87.563,   24.408,            0.000,
    87.613,   24.408,            0.000,
    87.651,   24.408,            0.000,
    87.696,   24.408,            0.000,
    87.735,   24.408,            0.000,
    87.777,   24.408,            0.000,
    87.818,   24.408,            0.000,
    87.860,   24.408,            0.000,
    87.902,   24.408,            0.000,
    87.944,   24.408,            0.000,
    87.986,   24.408,            0.000,
    88.029,   24.408,            0.000,
    88.072,   24.408,            0.000,
    88.109,   24.408,            0.000,
    88.153,   24.408,            0.000,
    88.195,   24.408,            0.000,
    88.236,   24.408,            0.000,
    88.281,   24.408,            0.000,
    88.316,   24.408,            0.000,
    88.357,   24.408,            0.000,
    88.400,   24.408,            0.000,
    88.445,   24.408,            0.000,
    88.484,   24.408,            0.000,
    88.525,   24.408,            0.000,
    88.566,   24.408,            0.000,
    88.609,   24.408,            0.000,
    88.651,   24.408,            0.000,
    88.692,   24.408,            0.000,
    88.730,   24.408,            0.000,
    88.771,   24.408,            0.000,
    88.815,   24.408,            0.000,
    88.859,   24.408,            0.000,
    88.898,   24.408,            0.000,
    88.942,   24.408,            0.000,
    88.986,   24.408,            0.000,
    89.021,   24.408,            0.000,
    89.065,   24.408,            0.000,
    89.105,   24.408,            0.000,
    89.146,   24.408,            0.000,
    89.188,   24.408,            0.000,
    89.230,   24.408,            0.000,
    89.275,   24.408,            0.000,
    89.313,   24.408,            0.000,
    89.356,   24.408,            0.000,
    89.402,   24.408,            0.000,
    89.440,   24.408,            0.000,
    89.482,   24.408,            0.000,
    89.521,   24.408,            0.000,
    89.563,   24.408,            0.000,
    89.610,   24.408,            0.000,
    89.652,   24.408,            0.000,
    89.691,   24.408,            0.000,
    89.731,   24.408,            0.000,
    89.775,   24.408,            0.000,
    89.817,   24.408,            0.000,
    89.857,   24.408,            0.000,
    89.899,   24.408,            0.000,
    89.941,   24.408,            0.000,
    89.984,   24.408,            0.000,
    90.021,   24.408,            0.000,
    90.065,   24.408,            0.000,
    90.106,   24.408,            0.000,
    90.152,   24.408,            0.000,
    90.193,   24.408,            0.000,
    90.234,   24.408,            0.000,
    90.277,   24.408,            0.000,
    90.319,   24.408,            0.000,
    90.354,   24.408,            0.000,
    90.399,   24.408,            0.000,
    90.444,   24.408,            0.000,
    90.479,   24.408,            0.000,
    90.525,   24.408,            0.000,
    90.566,   24.408,            0.000,
    90.606,   24.408,            0.000,
    90.648,   24.408,            0.000,
    90.692,   24.408,            0.000,
    90.731,   24.408,            0.000,
    90.773,   24.408,            0.000,
    90.816,   24.408,            0.000,
    90.857,   24.408,            0.000,
    90.897,   24.408,            0.000,
    90.942,   24.408,            0.000,
    90.980,   24.408,            0.000,
    91.022,   24.408,            0.000,
    91.064,   24.408,            0.000,
    91.105,   24.408,            0.000,
    91.148,   24.408,            0.000,
    91.190,   24.408,            0.000,
    91.230,   24.408,            0.000,
    91.274,   24.408,            0.000,
    91.316,   24.408,            0.000,
    91.358,   24.408,            0.000,
    91.401,   24.408,            0.000,
    91.443,   24.408,            0.000,
    91.483,   24.408,            0.000,
    91.523,   24.408,            0.000,
    91.564,   24.408,            0.000,
    91.605,   24.408,            0.000,
    91.647,   24.408,            0.000,
    91.688,   24.408,            0.000,
    91.730,   24.408,            0.000,
    91.772,   24.408,            0.000,
    91.814,   24.408,            0.000,
    91.855,   24.408,            0.000,
    91.901,   24.408,            0.000,
    91.940,   24.408,            0.000,
    91.981,   24.408,            0.000,
    92.024,   34.264,            0.000,
    92.064,   34.264,            0.000,
    92.107,   34.264,            0.000,
    92.151,   34.264,            0.000,
    92.192,   34.264,            0.000,
    92.232,   34.264,            0.000,
    92.272,   34.264,            0.000,
    92.318,   34.264,            0.000,
    92.356,   34.264,            0.000,
    92.399,   34.264,            0.000,
    92.442,   34.264,            0.000,
    92.484,   34.264,            0.000,
    92.527,   34.264,            0.000,
    92.565,   34.264,            0.000,
    92.605,   34.264,            0.000,
    92.651,   34.264,            0.000,
    92.692,   34.264,            0.000,
    92.734,   34.264,            0.000,
    92.773,   34.264,            0.000,
    92.816,   34.264,            0.000,
    92.859,   34.264,            0.000,
    92.899,   34.264,            0.000,
    92.940,   34.264,            0.000,
    92.980,   34.264,            0.000,
    93.023,   34.264,            0.000,
    93.063,   34.264,            0.000,
    93.110,   34.264,            0.000,
    93.147,   34.264,            0.000,
    93.191,   34.264,            0.000,
    93.233,   34.264,            0.000,
    93.273,   34.264,            0.000,
    93.317,   34.264,            0.000,
    93.358,   34.264,            0.000,
    93.401,   34.264,            0.000,
    93.438,   34.264,            0.000,
    93.480,   34.264,            0.000,
    93.525,   34.264,            0.000,
    93.566,   34.264,            0.000,
    93.606,   34.264,            0.000,
    93.646,   34.264,            0.000,
    93.689,   34.264,            0.000,
    93.732,   34.264,            0.000,
    93.771,   34.264,            0.000,
    93.816,   34.264,            0.000,
    93.859,   34.264,            0.000,
    93.896,   34.264,            0.000,
    93.938,   34.264,            0.000,
    93.982,   34.264,            0.000,
    94.026,   34.264,            0.000,
    94.068,   34.264,            0.000,
    94.109,   34.264,            0.000,
    94.152,   34.264,            0.000,
    94.191,   34.264,            0.000,
    94.231,   34.264,            0.000,
    94.272,   34.264,            0.000,
    94.319,   34.264,            0.000,
    94.358,   34.264,            0.000,
    94.396,   34.264,            0.000,
    94.439,   34.264,            0.000,
    94.485,   34.264,            0.000,
    94.528,   34.264,            0.000,
    94.563,   34.264,            0.000,
    94.607,   34.264,            0.000,
    94.651,   34.264,            0.000,
    94.692,   34.264,            0.000,
    94.734,   34.264,            0.000,
    94.776,   34.264,            0.000,
    94.818,   34.264,            0.000,
    94.859,   34.264,            0.000,
    94.902,   34.264,            0.000,
    94.939,   34.264,            0.000,
    94.980,   34.264,            0.000,
    95.021,   34.264,            0.000,
    95.063,   34.264,            0.000,
    95.110,   34.264,            0.000,
    95.152,   34.264,            0.000,
    95.188,   34.264,            0.000,
    95.236,   34.264,            0.000,
    95.273,   34.264,            0.000,
    95.314,   34.264,            0.000,
    95.355,   34.264,            0.000,
    95.397,   34.264,            0.000,
    95.439,   34.264,            0.000,
    95.480,   34.264,            0.000,
    95.528,   34.264,            0.000,
    95.563,   34.264,            0.000,
    95.610,   34.264,            0.000,
    95.651,   34.264,            0.000,
    95.694,   34.264,            0.000,
    95.736,   34.264,            0.000,
    95.775,   34.264,            0.000,
    95.819,   34.264,            0.000,
    95.856,   34.264,            0.000,
    95.899,   34.264,            0.000,
    95.943,   34.264,            0.000,
    95.983,   34.264,            0.000,
    96.025,   34.264,            0.000,
    96.067,   34.264,            0.000,
    96.108,   34.264,            0.000,
    96.150,   34.264,            0.000,
    96.192,   34.264,            0.000,
    96.233,   34.264,            0.000,
    96.275,   34.264,            0.000,
    96.317,   34.264,            0.000,
    96.358,   34.264,            0.000,
    96.401,   34.264,            0.000,
    96.442,   34.264,            0.000,
    96.483,   34.264,            0.000,
    96.525,   34.264,            0.000,
    96.567,   34.264,            0.000,
    96.608,   34.264,            0.000,
    96.651,   34.264,            0.000,
    96.692,   34.264,            0.000,
    96.733,   34.264,            0.000,
    96.775,   34.264,            0.000,
    96.818,   34.264,            0.000,
    96.858,   34.264,            0.000,
    96.900,   34.264,            0.000,
    96.942,   34.264,            0.000,
    96.983,   34.264,            0.000,
