$Temperature file for segment 52
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    73.105,    7.20,          -99.00,
    73.148,    7.20,          -99.00,
    73.191,    7.20,          -99.00,
    73.233,    7.20,          -99.00,
    73.275,    7.20,          -99.00,
    73.313,    7.20,          -99.00,
    73.358,    7.19,          -99.00,
    73.400,    7.19,          -99.00,
    73.438,    7.19,          -99.00,
    73.483,    7.19,          -99.00,
    73.523,    7.19,          -99.00,
    73.564,    7.19,          -99.00,
    73.604,    7.19,          -99.00,
    73.649,    7.19,          -99.00,
    73.694,    7.18,          -99.00,
    73.733,    7.18,          -99.00,
    73.777,    7.18,          -99.00,
    73.817,    7.18,          -99.00,
    73.857,    7.18,          -99.00,
    73.898,    7.18,          -99.00,
    73.940,    7.18,          -99.00,
    73.980,    7.17,          -99.00,
    74.027,    7.17,          -99.00,
    74.067,    7.17,          -99.00,
    74.107,    7.17,          -99.00,
    74.147,    7.17,          -99.00,
    74.189,    7.17,          -99.00,
    74.239,    7.16,          -99.00,
    74.271,    7.16,          -99.00,
    74.314,    7.16,          -99.00,
    74.355,    7.16,          -99.00,
    74.400,    7.15,          -99.00,
    74.443,    7.15,          -99.00,
    74.481,    7.15,          -99.00,
    74.525,    7.15,          -99.00,
    74.573,    7.15,          -99.00,
    74.605,    7.15,          -99.00,
    74.647,    7.15,          -99.00,
    74.689,    7.15,          -99.00,
    74.729,    7.15,          -99.00,
    74.773,    7.15,          -99.00,
    74.815,    7.15,          -99.00,
    74.863,    7.15,          -99.00,
    74.899,    7.14,          -99.00,
    74.945,    7.15,          -99.00,
    74.980,    7.16,          -99.00,
    75.025,    7.15,          -99.00,
    75.064,    7.15,          -99.00,
    75.106,    7.15,          -99.00,
    75.146,    7.15,          -99.00,
    75.189,    7.15,          -99.00,
    75.233,    7.15,          -99.00,
    75.278,    7.15,          -99.00,
    75.317,    7.15,          -99.00,
    75.357,    7.15,          -99.00,
    75.400,    7.15,          -99.00,
    75.439,    7.15,          -99.00,
    75.482,    7.16,          -99.00,
    75.525,    7.16,          -99.00,
    75.570,    7.16,          -99.00,
    75.609,    7.16,          -99.00,
    75.652,    7.16,          -99.00,
    75.695,    7.16,          -99.00,
    75.732,    7.16,          -99.00,
    75.776,    7.17,          -99.00,
    75.814,    7.17,          -99.00,
    75.861,    7.17,          -99.00,
    75.901,    7.17,          -99.00,
    75.947,    7.17,          -99.00,
    75.981,    7.17,          -99.00,
    76.024,    7.17,          -99.00,
    76.065,    7.17,          -99.00,
    76.107,    7.17,          -99.00,
    76.147,    7.17,          -99.00,
    76.189,    7.17,          -99.00,
    76.230,    7.17,          -99.00,
    76.271,    7.17,          -99.00,
    76.313,    7.16,          -99.00,
    76.356,    7.16,          -99.00,
    76.400,    7.16,          -99.00,
    76.440,    7.16,          -99.00,
    76.484,    7.16,          -99.00,
    76.530,    7.16,          -99.00,
    76.563,    7.16,          -99.00,
    76.606,    7.16,          -99.00,
    76.650,    7.16,          -99.00,
    76.688,    7.16,          -99.00,
    76.730,    7.15,          -99.00,
    76.773,    7.15,          -99.00,
    76.823,    7.15,          -99.00,
    76.858,    7.15,          -99.00,
    76.897,    7.15,          -99.00,
    76.940,    7.15,          -99.00,
    76.979,    7.15,          -99.00,
    77.026,    7.15,          -99.00,
    77.067,    7.15,          -99.00,
    77.112,    7.15,          -99.00,
    77.148,    7.15,          -99.00,
    77.193,    7.15,          -99.00,
    77.232,    7.15,          -99.00,
    77.272,    7.15,          -99.00,
    77.321,    7.15,          -99.00,
    77.365,    7.15,          -99.00,
    77.407,    7.14,          -99.00,
    77.448,    7.14,          -99.00,
    77.486,    7.14,          -99.00,
    77.521,    7.13,          -99.00,
    77.563,    7.13,          -99.00,
    77.610,    7.13,          -99.00,
    77.646,    7.12,          -99.00,
    77.690,    7.12,          -99.00,
    77.731,    7.12,          -99.00,
    77.779,    7.11,          -99.00,
    77.813,    7.11,          -99.00,
    77.856,    7.11,          -99.00,
    77.900,    7.11,          -99.00,
    77.943,    7.10,          -99.00,
    77.983,    7.10,          -99.00,
    78.023,    7.10,          -99.00,
    78.064,    7.10,          -99.00,
    78.112,    7.10,          -99.00,
    78.156,    7.10,          -99.00,
    78.199,    7.09,          -99.00,
    78.237,    7.09,          -99.00,
    78.277,    7.09,          -99.00,
