$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:644.     

JDAY,T(C)
    79.189,    7.07
    79.230,    7.07
    79.274,    7.07
    79.322,    7.07
    79.357,    7.07
    79.397,    7.07
    79.442,    7.07
    79.482,    7.07
    79.522,    7.07
    79.566,    7.07
    79.606,    7.07
    79.653,    7.07
    79.694,    7.07
    79.738,    7.08
    79.773,    7.08
    79.813,    7.08
    79.858,    7.08
    79.902,    7.08
    79.940,    7.08
    79.980,    7.08
    80.021,    7.08
    80.064,    7.08
    80.105,    7.08
    80.149,    7.08
    80.189,    7.08
    80.239,    7.08
    80.277,    7.09
    80.321,    7.08
    80.361,    7.08
    80.404,    7.08
    80.445,    7.08
    80.486,    7.08
    80.529,    7.08
    80.573,    7.08
    80.614,    7.08
    80.646,    7.08
    80.692,    7.08
    80.737,    7.08
    80.772,    7.08
    80.820,    7.08
    80.855,    7.08
    80.903,    7.08
    80.943,    7.08
    80.982,    7.08
    81.032,    7.08
    81.067,    7.08
    81.108,    7.08
    81.155,    7.08
    81.194,    7.08
    81.232,    7.09
    81.276,    7.09
    81.314,    7.09
    81.357,    7.09
    81.398,    7.09
    81.440,    7.09
    81.483,    7.09
    81.523,    7.09
    81.563,    7.10
    81.606,    7.10
    81.647,    7.10
    81.692,    7.10
    81.731,    7.10
    81.771,    7.10
    81.815,    7.10
    81.859,    7.10
    81.898,    7.09
    81.939,    7.09
    81.984,    7.09
    82.025,    7.09
    82.065,    7.09
    82.108,    7.09
    82.148,    7.09
    82.192,    7.09
    82.236,    7.09
    82.280,    7.09
    82.316,    7.09
    82.357,    7.09
    82.400,    7.10
    82.447,    7.10
    82.481,    7.10
    82.522,    7.10
    82.568,    7.10
    82.607,    7.10
    82.651,    7.10
    82.688,    7.10
    82.733,    7.10
    82.778,    7.11
    82.816,    7.11
    82.858,    7.11
    82.901,    7.11
    82.943,    7.11
    82.983,    7.11
    83.024,    7.11
    83.066,    7.12
    83.107,    7.12
    83.151,    7.12
    83.194,    7.12
    83.230,    7.12
    83.274,    7.12
    83.318,    7.12
    83.360,    7.12
    83.404,    7.12
    83.447,    7.12
    83.485,    7.12
    83.526,    7.12
    83.563,    7.12
    83.614,    7.12
    83.646,    7.12
    83.689,    7.12
    83.731,    7.12
    83.780,    7.12
    83.819,    7.12
    83.864,    7.12
    83.898,    7.12
    83.942,    7.12
    83.987,    7.12
    84.025,    7.11
    84.065,    7.11
    84.116,    7.10
    84.148,    7.10
    84.190,    7.10
    84.232,    7.10
    84.274,    7.10
    84.316,    7.10
    84.357,    7.09
    84.399,    7.09
    84.442,    7.09
    84.485,    7.09
    84.529,    7.09
    84.564,    7.09
    84.606,    7.09
    84.652,    7.09
    84.694,    7.10
    84.737,    7.10
    84.780,    7.10
    84.814,    7.10
    84.861,    7.10
    84.904,    7.10
    84.938,    7.10
    84.982,    7.10
    85.024,    7.10
    85.067,    7.10
    85.111,    7.10
    85.153,    7.11
    85.199,    7.12
    85.235,    7.12
    85.271,    7.12
    85.317,    7.11
    85.362,    7.10
    85.399,    7.11
    85.440,    7.11
    85.487,    7.11
    85.528,    7.11
    85.563,    7.11
    85.607,    7.11
    85.647,    7.11
    85.693,    7.11
    85.731,    7.11
    85.774,    7.11
    85.814,    7.11
    85.858,    7.11
    85.896,    7.11
    85.944,    7.11
    85.987,    7.11
    86.029,    7.11
    86.071,    7.11
    86.112,    7.11
    86.154,    7.11
    86.196,    7.11
    86.237,    7.11
    86.280,    7.11
    86.325,    7.11
    86.360,    7.11
    86.404,    7.11
    86.442,    7.11
    86.488,    7.11
    86.528,    7.11
    86.566,    7.11
    86.612,    7.11
    86.652,    7.11
    86.693,    7.11
    86.735,    7.11
    86.778,    7.11
    86.821,    7.11
    86.862,    7.11
    86.906,    7.11
    86.942,    7.11
    86.981,    7.11
    87.031,    7.11
    87.065,    7.11
    87.111,    7.11
    87.152,    7.11
    87.190,    7.11
    87.232,    7.11
    87.274,    7.11
    87.316,    7.11
    87.357,    7.11
    87.400,    7.11
    87.442,    7.11
    87.481,    7.11
    87.523,    7.11
    87.563,    7.11
    87.613,    7.11
    87.651,    7.11
    87.696,    7.11
    87.735,    7.11
    87.777,    7.11
    87.818,    7.11
    87.860,    7.11
    87.902,    7.11
    87.944,    7.11
    87.986,    7.11
    88.029,    7.12
    88.072,    7.12
    88.109,    7.12
    88.153,    7.12
    88.195,    7.12
    88.236,    7.11
    88.281,    7.11
    88.316,    7.12
    88.357,    7.12
    88.400,    7.12
    88.445,    7.12
    88.484,    7.12
    88.525,    7.12
    88.566,    7.11
    88.609,    7.11
    88.651,    7.11
    88.692,    7.11
    88.730,    7.11
    88.771,    7.11
    88.815,    7.11
    88.859,    7.11
    88.898,    7.11
    88.942,    7.11
    88.986,    7.11
    89.021,    7.11
    89.065,    7.11
    89.105,    7.10
    89.146,    7.10
    89.188,    7.10
    89.230,    7.10
    89.275,    7.10
    89.313,    7.10
    89.356,    7.10
    89.402,    7.10
    89.440,    7.10
    89.482,    7.10
    89.521,    7.10
    89.563,    7.10
    89.610,    7.10
    89.652,    7.10
    89.691,    7.10
    89.731,    7.10
    89.775,    7.10
    89.817,    7.10
    89.857,    7.10
    89.899,    7.10
    89.941,    7.10
    89.984,    7.10
    90.021,    7.10
    90.065,    7.10
    90.106,    7.10
    90.152,    7.10
    90.193,    7.10
    90.234,    7.10
    90.277,    7.10
    90.319,    7.10
    90.354,    7.10
    90.399,    7.10
    90.444,    7.10
    90.479,    7.11
    90.525,    7.11
    90.566,    7.11
    90.606,    7.11
    90.648,    7.11
    90.692,    7.11
    90.731,    7.11
    90.773,    7.11
    90.816,    7.11
    90.857,    7.11
    90.897,    7.11
    90.942,    7.11
    90.980,    7.10
    91.022,    7.10
    91.064,    7.10
    91.105,    7.09
    91.148,    7.09
    91.190,    7.08
    91.230,    7.08
    91.274,    7.08
    91.316,    7.07
    91.358,    7.07
    91.401,    7.07
    91.443,    7.07
    91.483,    7.07
    91.523,    7.07
    91.564,    7.06
    91.605,    7.06
    91.647,    7.06
    91.688,    7.06
    91.730,    7.06
    91.772,    7.06
    91.814,    7.06
    91.855,    7.06
    91.901,    7.05
    91.940,    7.05
    91.981,    7.05
    92.024,    7.05
    92.064,    7.05
    92.107,    7.05
    92.151,    7.05
    92.192,    7.05
    92.232,    7.04
    92.272,    7.04
    92.318,    7.04
    92.356,    7.04
    92.399,    7.04
    92.442,    7.04
    92.484,    7.04
    92.527,    7.04
    92.565,    7.04
    92.605,    7.04
    92.651,    7.04
    92.692,    7.04
    92.734,    7.04
    92.773,    7.04
    92.816,    7.04
    92.859,    7.04
    92.899,    7.04
    92.940,    7.05
    92.980,    7.05
    93.023,    7.05
    93.063,    7.05
    93.110,    7.05
    93.147,    7.05
    93.191,    7.05
    93.233,    7.05
    93.273,    7.05
    93.317,    7.05
    93.358,    7.05
    93.401,    7.04
    93.438,    7.04
    93.480,    7.04
    93.525,    7.04
    93.566,    7.04
    93.606,    7.04
    93.646,    7.04
    93.689,    7.04
    93.732,    7.04
    93.771,    7.04
    93.816,    7.03
    93.859,    7.03
    93.896,    7.03
    93.938,    7.03
    93.982,    7.03
    94.026,    7.03
    94.068,    7.03
    94.109,    7.03
    94.152,    7.04
    94.191,    7.04
    94.231,    7.04
    94.272,    7.04
    94.319,    7.04
    94.358,    7.04
    94.396,    7.04
    94.439,    7.04
    94.485,    7.04
    94.528,    7.04
    94.563,    7.04
    94.607,    7.04
    94.651,    7.04
    94.692,    7.04
    94.734,    7.04
    94.776,    7.04
    94.818,    7.04
    94.859,    7.04
    94.902,    7.04
    94.939,    7.04
    94.980,    7.04
    95.021,    7.04
    95.063,    7.04
    95.110,    7.04
