JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    62.714,   582.824,   708.910,     7.342,     0.000,     0.000,   126.421,     0.450,   118.533,  1204.309,     1.000,     7.347,   -43.635,   119.265,   235.864,   341.375,    28.714,    28.675,     0.000,
    62.757,   705.059,   708.911,     7.342,     0.000,     0.000,    10.997,     0.450,   118.534,  1204.309,     1.000,     7.345,  -161.471,    10.375,   233.854,   341.234,    31.075,    33.391,     0.000,
    62.792,   874.313,   708.912,     7.342,     0.000,     0.000,     1.980,     0.450,   118.535,  1204.309,     1.000,     7.343,  -166.183,     1.868,   233.854,   341.111,    29.293,    31.502,     0.000,
    62.843,   955.320,   708.913,     7.341,     0.000,     0.000,     0.000,     0.450,   118.536,  1204.309,     1.000,     7.340,  -163.969,     0.000,   233.854,   341.024,    27.360,    29.440,     0.000,
    62.886,  1053.407,   708.914,     7.341,     0.000,     0.000,     0.000,     0.450,   118.537,  1204.309,     1.000,     7.339,  -160.293,     0.000,   233.854,   340.994,    25.600,    27.552,     0.000,
    62.917,   802.013,   708.915,     7.341,     0.000,     0.000,     0.000,     0.450,   118.538,  1204.309,     1.000,     7.337,  -165.442,     0.000,   232.216,   340.978,    27.103,    29.577,     0.000,
    62.970,  1064.082,   708.916,     7.341,     0.000,     0.000,     0.000,     0.450,   118.539,  1204.309,     1.000,     7.335,  -167.772,     0.000,   231.931,   340.968,    28.049,    30.686,     0.000,
    63.009,   811.929,   708.917,     7.341,     0.000,     0.000,     0.000,     0.450,   118.540,  1204.309,     1.000,     7.334,  -173.951,     0.000,   230.026,   340.961,    29.836,    33.181,     0.000,
    63.042,   418.585,   708.918,     7.341,     0.000,     0.000,     0.000,     0.450,   118.541,  1204.309,     1.000,     7.332,  -172.343,     0.000,   229.547,   340.954,    28.850,    32.086,     0.000,
    63.092,   815.704,   708.919,     7.340,     0.000,     0.000,     0.000,     0.450,   118.542,  1204.309,     1.000,     7.330,  -178.667,     0.000,   227.249,   340.957,    30.495,    34.463,     0.000,
