JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  32,SEG  33,SEG  34,SEG  35,SEG  36,SEG  37,SEG  38,SEG  39,SEG  40,SEG  41,SEG  42,SEG  43,SEG  44,SEG  45,SEG  46,SEG  47,SEG  48,SEG  49,SEG  50,SEG  51,SEG  52,SEG  55,SEG  56,SEG  57,SEG  58,SEG  61,SEG  62,SEG  63,SEG  64,SEG  65,SEG  66,SEG  67,SEG  68,SEG  69,SEG  70,SEG  73,SEG  74,SEG  75,SEG  76,SEG  77,SEG  78,SEG  79,SEG  80,SEG  81,SEG  82,SEG
    61.841, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.874, 708.892, 708.892, 708.892, 708.892, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.892, 708.892, 708.892, 708.892, 708.892, 708.891, 708.891, 708.891, 708.891, 708.891,
    61.884, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.874, 708.893, 708.893, 708.893, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.893, 708.893, 708.893, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892, 708.892,
    61.917, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.874, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893, 708.893,
    61.966, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.874, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894, 708.894,
    62.000, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.896, 708.896, 708.896, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.874, 708.895, 708.895, 708.896, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895, 708.895,
    62.042, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.874, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896, 708.896,
    62.090, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.874, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897, 708.897,
    62.126, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.874, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898, 708.898,
    62.167, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.874, 708.899, 708.899, 708.899, 708.898, 708.898, 708.898, 708.898, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899, 708.899,
    62.217, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.874, 708.900, 708.900, 708.900, 708.900, 708.899, 708.899, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900, 708.900,
